school_name,composite_score,equity_rank,excellence_rank,efficiency_rank,Enrollment,equity_score_lmodel,excellence_score_lmodel,efficiency_score_lmodel,composite_score_lmodel,equity_score_pmodel,excellence_score_pmodel,efficiency_score_pmodel,composite_score_pmodel
Sunset Elementary,14.35,3,91,32,404,2.3786543286898465,57.1190672594434,27.277790825373327,22.288541685549106,1.4268415901831752,86.89679891743575,1.7787114089336291,22.88229837668393
Feinstein (Dianne) Elementary,8.85,5,55,56,358,3.9644238811497443,34.52251317878448,47.73613394440333,22.546873721371824,2.6499713434372394,41.05290682853172,12.868843453287282,14.80542324217337
Buena Vista/ Horace Mann K-8,54.62,86,43,66,588,68.1880907557756,26.990328485231498,56.26044357733249,54.9067383935288,83.29455848486417,28.454783774333936,23.007483908347343,54.51284616310241
Serra (Junipero) Elementary,40.12,39,46,82,280,30.922506272968004,28.873374658619746,69.89933899001916,40.15443154864373,31.944672878339063,31.46107100436622,49.57098215678844,36.2303497294582
Moscone (George R.) Elementary,39.65,54,51,39,333,42.81577791641723,32.01178494760015,33.244807568423745,37.72203708721459,47.389230050410056,36.686710420768634,3.580286810389112,33.76136433299446
O'Connell (John) High,36.82,92,11,9,505,72.94539941315529,6.904502635756894,7.671878669636248,40.11679503292593,90.38853317844925,3.7361686035773696,0.020043795931951516,46.13331968910195
Revere (Paul) Elementary,34.15,80,2,45,455,63.43078209839591,1.2553641155921627,38.35939334818124,41.619080415141305,76.30477801401268,0.29503012459406125,5.938626100894881,39.71080306337858
Flynn (Leonard R.) Elementary,31.7,62,21,24,380,49.15885612625682,13.181323213717707,20.458343119029994,32.98934464631534,56.0264383085994,9.786738861337273,0.6431253820905275,30.62068521515665
Bryant Elementary,31.53,70,18,17,238,55.501934336096426,11.298277040329463,14.491326375979579,34.19836802212547,64.9037042948027,7.779286338738184,0.18997845816539716,34.444168346627244
Chavez (Cesar) Elementary,29.96,49,39,25,398,38.85135403526749,24.479600254047174,21.31077408232291,30.873270601726265,42.12490831187189,24.6040608247076,0.7429991653426049,27.3992191534485
Burton (Phillip and Sala) Academic High,69.96,97,60,85,1053,76.90982329430504,37.66092346776488,72.4566318798979,65.98430048406821,96.3758568477279,46.73252535438206,56.287293789013724,73.9428832097129
Visitacion Valley Middle,51.5,87,31,67,343,68.98097553200554,19.45814379167852,57.112874540625405,53.63324234907875,84.46980590197373,17.479443408653342,24.264070366425816,52.67078139475665
